repo name,repo size, repo clone url
vladmihalcea/hypersistence-optimizer,83,https://github.com/vladmihalcea/hypersistence-optimizer.git
smartnews/jpa-entity-generator,244,https://github.com/smartnews/jpa-entity-generator.git
FutureCitiesCatapult/TomboloDigitalConnector,336150,https://github.com/FutureCitiesCatapult/TomboloDigitalConnector.git
spring-sprout/egov-data,678,https://github.com/spring-sprout/egov-data.git
yz-java/common-project,142,https://github.com/yz-java/common-project.git
ORCID/ORCID-Source,139473,https://github.com/ORCID/ORCID-Source.git
livrowebservices/1ed,57403,https://github.com/livrowebservices/1ed.git
fuyunwang/ChengFeng1.5,421,https://github.com/fuyunwang/ChengFeng1.5.git
springframeworkguru/blogposts,931,https://github.com/springframeworkguru/blogposts.git
lucee/Lucee,64628,https://github.com/lucee/Lucee.git
in28minutes/SpringBootWebApplicationStepByStep,133,https://github.com/in28minutes/SpringBootWebApplicationStepByStep.git
arey/hibernate-hydrate,207,https://github.com/arey/hibernate-hydrate.git
camunda/camunda-bpm-spring-boot-starter,4921,https://github.com/camunda/camunda-bpm-spring-boot-starter.git
marschall/threeten-jpa,628,https://github.com/marschall/threeten-jpa.git
murraco/spring-boot-jwt,32,https://github.com/murraco/spring-boot-jwt.git
hibernate/hibernate-ogm-ignite,8806,https://github.com/hibernate/hibernate-ogm-ignite.git
only2dhir/spring-security-jwt,12,https://github.com/only2dhir/spring-security-jwt.git
jpdigital/hibernate5-ddl-maven-plugin,1869,https://github.com/jpdigital/hibernate5-ddl-maven-plugin.git
vibur/vibur-dbcp,1292,https://github.com/vibur/vibur-dbcp.git
teiid/teiid-wildfly-quickstarts,915,https://github.com/teiid/teiid-wildfly-quickstarts.git
orientechnologies/orientdb,230206,https://github.com/orientechnologies/orientdb.git
in28minutes/JavaWebApplicationStepByStep,53,https://github.com/in28minutes/JavaWebApplicationStepByStep.git
gtiwari333/java-inventory-management-system-swing-hibernate-nepal,730,https://github.com/gtiwari333/java-inventory-management-system-swing-hibernate-nepal.git
kookob/mybatis-log-plugin,3224,https://github.com/kookob/mybatis-log-plugin.git
DeepAQ/Autumn,444,https://github.com/DeepAQ/Autumn.git
openstack/monasca-common,1390,https://github.com/openstack/monasca-common.git
Jasig/NewsReaderPortlet,1637,https://github.com/Jasig/NewsReaderPortlet.git
spring-projects/spring-data-envers,961,https://github.com/spring-projects/spring-data-envers.git
BroadleafCommerce/BroadleafCommerce,281028,https://github.com/BroadleafCommerce/BroadleafCommerce.git
tiagohs/spring-javafx-material-design-admin,3277,https://github.com/tiagohs/spring-javafx-material-design-admin.git
zsl131/spring-boot-test,130,https://github.com/zsl131/spring-boot-test.git
justinscript/jweb,353,https://github.com/justinscript/jweb.git
spring-projects/spring-data-jpa,7313,https://github.com/spring-projects/spring-data-jpa.git
kitodo/kitodo-production,160495,https://github.com/kitodo/kitodo-production.git
kanwangzjm/funiture,32229,https://github.com/kanwangzjm/funiture.git
arquillian/arquillian-examples,328,https://github.com/arquillian/arquillian-examples.git
spring-projects/spring-webflow,22132,https://github.com/spring-projects/spring-webflow.git
ehcache/sizeof,635,https://github.com/ehcache/sizeof.git
ludup/hypersocket-framework,23098,https://github.com/ludup/hypersocket-framework.git
rrohitramsen/spring-boot-oauth2-jwt-swagger-ui,702,https://github.com/rrohitramsen/spring-boot-oauth2-jwt-swagger-ui.git
dvelopp/SpringAngularApp,3052,https://github.com/dvelopp/SpringAngularApp.git
FangWW/Document,578543,https://github.com/FangWW/Document.git
bbossgroups/bboss-plugins,42961,https://github.com/bbossgroups/bboss-plugins.git
prometheus/client_java,3363,https://github.com/prometheus/client_java.git
hantsy/angularjs-springmvc-sample-boot,429,https://github.com/hantsy/angularjs-springmvc-sample-boot.git
vladmihalcea/db-util,197,https://github.com/vladmihalcea/db-util.git
only2dhir/spring-boot-jwt,10,https://github.com/only2dhir/spring-boot-jwt.git
OpenOLAT/OpenOLAT,371963,https://github.com/OpenOLAT/OpenOLAT.git
hotblac/spanners,800,https://github.com/hotblac/spanners.git
forge/thorntail-addon,268,https://github.com/forge/thorntail-addon.git
olavloite/spanner-jdbc,2029,https://github.com/olavloite/spanner-jdbc.git
EhsanTang/ApiManager,19222,https://github.com/EhsanTang/ApiManager.git
raytrend/utopiaframework,66,https://github.com/raytrend/utopiaframework.git
apache/struts,75367,https://github.com/apache/struts.git
in28minutes/JavaObjectOrientedProgramming,7,https://github.com/in28minutes/JavaObjectOrientedProgramming.git
in28minutes/spring-unit-testing-with-junit-and-mockito,463,https://github.com/in28minutes/spring-unit-testing-with-junit-and-mockito.git
ChristophKnabe/spring-ddd-bank,289,https://github.com/ChristophKnabe/spring-ddd-bank.git
Jasig/JasigWidgetPortlets,834,https://github.com/Jasig/JasigWidgetPortlets.git
Jasig/CalendarPortlet,3383,https://github.com/Jasig/CalendarPortlet.git
xetys/jhipster-uaa-setup,34793,https://github.com/xetys/jhipster-uaa-setup.git
bill1012/AdminEAP,30146,https://github.com/bill1012/AdminEAP.git
terrestris/shogun-legacy,727,https://github.com/terrestris/shogun-legacy.git
xvik/dropwizard-guicey,4313,https://github.com/xvik/dropwizard-guicey.git
